ids,ATScore,OverallScore
896,93,87.74
897,93,93.49
898,100,97.4
899,96,87.23
900,93,88.08
901,100,90.02
902,96,29.23
903,92,94.33
904,74,58.54
905,70,77.68
906,96,85.09
907,93,73.35
908,77,79.05
909,93,94.85
910,96,95.99
911,85,78.69
912,89,87.23
913,93,88.83
914,90,79.74
915,96,89.5
916,96,87.69
917,96,82.26
918,81,79.4
919,100,89.32
920,100,86.45
921,96,85.31
922,90,91.43
923,96,81.85
924,100,94.86
925,100,78.96
926,82,85.32
927,89,81.49
928,89,91.53
929,96,97.05
930,96,96.98
931,89,86.83
932,86,79.47
933,89,81
934,89,75.9
935,92,93.41
936,85,82.38
937,85,85.82
938,89,81.67
939,89,82.7
940,89,78.95
941,90,91.63
942,89,77.19
943,81,86.43
944,85,88.78
945,92,93.76
946,81,65.29
947,85,81.12
948,88,82.8
949,78,84.05
950,80,82.65
951,68,73.6
952,89,87.93
953,88,83.31
954,92,82.58
955,77,74.8
956,89,83.4
957,89,90.57
958,88,88.03
959,89,80.51
960,89,92.13
961,100,84.33
962,100,92.33
963,100,81.79
964,92,93.89
965,81,83.76
966,96,92.2
967,96,91.06
968,90,91.18
969,89,87.26
970,89,77.11
971,89,85.78
972,89,86.09
973,77,82.48
974,96,90.08
975,97,92.46
976,93,83.1
977,93,81
978,81,86.56
979,97,70.66
980,81,86.49
981,85,77.92
982,93,76.53
983,93,85.85
984,93,87.03
985,96,76.41
986,88,76.79
987,89,86.68
988,96,90.05
989,96,89.06
990,96,72.27
991,100,86.69
992,93,81.01
993,89,91.81
994,89,75.32
995,89,77.25
996,89,83.31
997,96,82.25
998,92,86.79
999,100,98.91
1000,84,85.82
1001,80,78.54
1002,96,86.69
1003,89,84.34
1004,93,90.6
1005,96,78.59
1006,96,86
1007,82,80.25
1008,96,86.12
1009,81,80.75
1010,96,94.62
1011,96,85.09
1012,100,97.41
1013,89,92.07
1014,85,83.81
1015,96,94.75
1016,63,56.31
1017,96,93.98
1018,85,84.92
1019,92,80.33
1020,89,90.28
1021,90,87.41
1022,92,82.09
1023,89,89.6
1024,93,84.09
1025,93,80.32
1026,86,88.79
1027,89,91.98
1028,96,91.47
1029,89,88.41
1030,85,88.12
1031,97,89.97
1032,96,88.1
1033,96,87.36
1034,93,74.39
1035,85,67.18
1036,96,97.03
1037,77,76.26
1038,89,85.78
1039,85,86.6
1040,89,85.55
1041,92,82.21
1042,92,92.72
1043,81,84.51
1044,89,92.11
1045,80,84.8
1046,92,84.56
1047,85,82.16
1048,81,77.03
1049,85,89.32
1050,100,85.46
1051,81,83.18
1052,89,85.62
1053,89,88.33
1054,89,78.49
1055,96,92.08
1056,96,91.25
1057,96,90.57
1058,92,87.31
1059,89,77.57
1060,89,88.81
1061,85,88.78
1062,89,91.03
1063,100,95.51
1064,63,69.47
1065,89,81.76
1066,89,90.58
1067,74,81.24
1068,85,88.69
1069,96,90.11
1070,96,93.99
1071,78,73.69
1072,92,83.63
1073,85,82.53
1074,89,79.1
1075,100,77.32
1076,92,83.79
1077,89,80.95
1078,96,94.76
1079,92,87.23
1080,93,90.05
1081,76,76.63
1082,85,81.79
1083,93,92.25
1084,85,79.54
1085,81,73.43
1086,85,83.78
1087,89,82.83
1088,85,72.2
1089,85,85.55
1090,100,94.95
1091,89,84.37
1092,85,89.35
1093,65,64.56
1094,92,78.35
1095,96,94.05
1096,93,92.82
1097,100,93.83
1098,92,89.4
1099,96,93.96
1100,89,87.17
1101,96,90.84
1102,89,84.97
1103,92,92.43
1104,92,92.46
1105,93,91.37
1106,96,83.13
1107,93,90.94
1108,100,93.24
1109,100,97.97
1110,89,90.59
1111,85,83.91
1112,96,93.51
1113,96,91.82
1114,96,92.12
1115,85,82.84
1116,85,82.31
1117,89,82.74
1118,96,95.16
1119,89,72.31
1120,93,93.21
1121,93,90.29
1122,96,95.98
1123,74,77.04
1124,85,84.96
1125,81,84.7
1126,93,83.2
1127,43,59.62
1128,89,76.71
1129,100,80.68
1130,92,84.77
1131,89,85.05
1132,89,85.54
1133,93,92.88
1134,96,81.37
1135,81,67.91
1136,81,83.98
1137,96,79.39
1138,96,82.59
1139,100,87.19
1140,82,83.13
1141,96,89.32
1142,85,87.7
1143,96,79.86
1144,85,84.4
1145,89,91.28
1146,92,80.66
1147,81,85.28
1148,90,84.4
1149,89,89.31
1150,85,86.09
1151,85,89.2
1152,89,91.02
1153,96,82.2
1154,85,85.29
1155,96,93.28
1156,96,84.52
1157,81,82.96
1158,89,88.29
1159,97,83.26
1160,96,88.01
1161,100,87.95
1162,92,93.67
1163,100,97.12
1164,100,87.95
1165,89,90.83
1166,87,82.96
1167,93,94.42
1168,100,90.65
1169,89,90.53
1170,90,89.15
1171,96,96.78
1172,100,97.56
1173,96,97.02
1174,89,88.6
1175,89,79.1
1176,85,81.79
1177,88,75.08
1178,85,79.49
1179,89,90.2
1180,89,91.21
1181,97,91.95
1182,85,80.2
1183,81,71.33
1184,100,90.21
1185,100,96.2
1186,77,75.39
1187,96,96.15
1188,82,86.43
1189,93,89
1190,78,83.09
1191,96,82.16
1192,85,81.06
1193,85,80.85
1194,85,75.69
1195,89,86.81
1196,82,80.65
1197,73,70.93
1198,85,73.67
1199,89,83.16
1200,85,82.2
1201,89,90.56
1202,85,88.02
1203,89,86.05
1204,85,79.59
1205,93,78.91
1206,78,75.93
1207,81,86.36
1208,85,76.39
1209,100,95.74
1210,89,85.11
1211,92,85.66
1212,86,81.94
1213,89,91.06
1214,96,83.58
1215,96,89.77
1216,85,85.52
1217,85,82.07
1218,85,76.71
1219,88,85.68
1220,89,76.97
1221,74,67.19
1222,97,94.36
1223,89,89.79
1224,97,90.79
1225,62,72.12
1226,96,93.38
1227,89,88.97
1228,69,74.33
1229,88,75.36
1230,100,99.2
1231,96,94.11
1232,92,80.85
1233,85,77.58
1234,96,90.08
1235,92,89.83
1236,92,87.53
1237,88,80.89
1238,85,79.43
1239,70,77.54
1240,92,85.66
1241,86,77.95
1242,89,91.66
1243,86,87.44
1244,92,81.54
1245,100,96.87
1246,89,89.05
1247,89,87.47
1248,89,82.04
1249,89,79.61
1250,89,89.48
1251,89,82.3
1252,86,84.69
1253,89,72.93
1254,86,74.65
1255,96,88.22
1256,81,85.06
1257,96,80.23
1258,82,81.57
1259,81,86.33
1260,85,80.47
1261,81,81
1262,93,81.15
1263,96,85.4
1264,96,96.8
1265,100,95.29
1266,85,82.53
1267,73,75.25
1268,93,80.8
1269,81,84.71
1270,74,80.82
1271,78,83.46
1272,96,96.92
1273,90,86.76
1274,58,58.53
1275,82,79.78
1276,100,96.67
1277,89,82.09
1278,81,85.02
1279,77,81.56
1280,97,97.69
1281,73,78.05
1282,96,90.3
1283,89,73.8
1284,85,85.53
1285,78,73.85
1286,89,91.28
1287,78,77.38
1288,89,87.45
1289,93,90.22
1290,100,90.2
1291,89,81.03
1292,89,87.07
1293,85,88.42
1294,89,86.54
1295,89,82.85
1296,96,90.72
1297,97,87.22
1298,96,85.01
1299,82,82.78
1300,85,83.43
1301,96,90.49
1302,77,83.17
1303,89,83.51
1304,66,65.35
1305,82,86.62
1306,85,88.34
1307,85,85.14
1308,89,88.46
1309,89,87.94
1310,89,92.13
1311,89,80.49
1312,89,91.88
1313,89,76.07
1314,85,83.93
1315,100,79.5
1316,96,94.68
1317,89,89.04
1318,89,91.59
1319,96,89.24
1320,100,87.25
1321,85,82.58
1322,89,91.02
1323,96,96.51
1324,89,84.31
1325,74,73.38
1326,89,77.77
1327,96,90.81
1328,100,91.1
1329,89,76.82
1330,81,81.76
1331,77,78.6
1332,89,91.19
1333,96,94.53
1334,93,90.24
1335,96,96.83
1336,100,78.12
1337,89,83.91
1338,82,81.5
1339,85,80.12
1340,92,86.03
1341,65,71.49
1342,73,79.56
1343,89,79.8
1344,100,90.95
1345,96,89.78
1346,96,89.7
1347,96,87.54
1348,85,83.49
1349,85,87.36
1350,81,81.62
1351,77,83.09
1352,81,77.83
1353,96,88.92
1354,85,88.96
1355,85,85.52
1356,81,82.05
1357,89,85.24
1358,89,88.04
1359,94,88.06
1360,81,77.89
1361,90,76.32
1362,96,92.02
1363,89,83.87
1364,89,91.79
1365,77,76.21
1366,100,87.38
1367,89,85.27
1368,89,80.9
1369,88,88.32
1370,97,96.57
1371,96,73.41
1372,74,71.28
1373,92,83.99
1374,88,91.13
1375,96,94.85
1376,100,93.95
1377,74,79.35
1378,89,78.67
1379,100,87.88
1380,100,91.59
1381,96,91.53
1382,89,85.84
1383,92,93.46
1384,96,88.36
1385,86,83.27
1386,89,88.57
1387,90,88.45
1388,96,96.11
1389,85,89.03
1390,89,85.16
1391,85,82.68
1392,81,80.77
1393,89,85.42
1394,85,78.08
1395,74,78.53
1396,96,90.2
1397,81,86.19
1398,100,93.04
1399,93,94.5
1400,89,91.47
1401,96,90.67
1402,89,91.28
1403,93,94.51
1404,89,90.7
1405,100,84.98
1406,85,77.6
1407,89,87.72
1408,78,83.67
1409,93,93
1410,81,86.56
1411,100,90.18
1412,100,87.1
1413,85,83.26
1414,89,78.29
1415,92,90.63
1416,96,94.47
1417,96,90.84
1418,96,92.9
1419,82,84.62
1420,89,77.08
1421,88,87.92
1422,97,77.51
1423,63,73.27
1424,89,87.89
1425,92,86.3
1426,82,84.83
1427,100,92.18
1428,89,85.46
1429,97,88.41
1430,100,98.83
1431,92,79.08
1432,96,78.51
1433,89,92.05
1434,96,88.39
1435,77,81.22
1436,85,84.35
1437,92,94
1438,96,87.7
1439,85,86.84
1440,100,98.18
1441,97,82.51
1442,96,84.42
1443,59,69.62
1444,96,87.97
1445,73,73.16
1446,89,86.93
1447,89,81.74
1448,89,88.68
1449,86,80.14
1450,89,89.35
1451,85,76.11
1452,89,82.37
1453,93,94.35
1454,89,91.83
1455,85,84.35
1456,85,86.93
1457,93,94.89
1458,93,81.38
1459,73,74.79
1460,70,74.97
1461,89,86.72
1462,89,91.38
1463,85,88.9
1464,92,84.61
1465,85,72.75
1466,100,91.96
1467,96,92.66
1468,89,85.12
1469,92,82.47
1470,89,78.91
1471,96,91.12
1472,85,80.01
1473,89,89.29
1474,92,81.04
1475,96,81.07
1476,90,91.57
1477,73,77.18
1478,81,76.02
1479,62,72.9
1480,74,81.44
1481,77,83.04
1482,93,87.42
1483,88,90.34
1484,96,90.62
1485,89,91.88
1486,50,59.44
1487,93,92.52
1488,93,91.76
1489,89,87.13
1490,67,72.74
1491,86,89.92
1492,96,84.62
1493,85,85.94
1494,89,90.3
1495,96,87.43
1496,81,84.98
1497,89,78.93
1498,96,87.94
1499,100,93.67
1500,100,78.58
1501,92,90.18
1502,92,93.4
1503,96,90.96
1504,96,90.96
1505,89,79.12
1506,85,83.35
1507,96,88.16
1508,85,82.9
1509,93,84.57
1510,89,91.68
1511,93,92.05
1512,82,85.28
1513,84,73.64
1514,93,74.35
1515,92,76.83
1516,92,84.7
1517,85,78.92
1518,92,93.69
1519,85,79.76
1520,90,91.82
1521,54,66.71
1522,92,82.48
1523,93,84.46
1524,92,93.93
1525,97,88.73
1526,96,78.71
1527,78,79.9
1528,92,90.69
1529,96,97.03
1530,89,90.87
1531,92,84.84
1532,96,76.53
1533,81,59.06
1534,89,89.44
1535,89,88.3
1536,89,88.96
1537,96,84.59
1538,100,93.75
1539,89,80.74
1540,81,80.44
1541,100,98.96
1542,96,93.31
1543,96,96.5
1544,96,93.96
1545,93,93.56
1546,89,84.79
1547,96,91.53
1548,89,67.92
1549,96,81.59
1550,85,88.24
1551,96,89.49
1552,44,56.37
1553,100,93.01
1554,89,89.41
1555,100,95.35
1556,96,73.73
1557,97,89.64
1558,85,81.29
1559,89,89.56
1560,77,82.96
1561,96,94.12
1562,81,83.16
1563,89,84.73
1564,88,87.37
1565,100,95.3
1566,97,90.99
1567,89,78.27
1568,74,81.33
1569,89,83.08
1570,89,81.09
1571,89,87.96
1572,97,83.06
1573,67,74.88
1574,78,84.22
1575,82,85.3
1576,100,91.71
1577,92,90.25
1578,89,85.61
1579,78,83.84
1580,96,91.05
1581,97,71.39
1582,93,84.86
1583,96,90.49
1584,93,90.76
1585,63,73.15
1586,96,97.09
1587,89,90.46
1588,81,85.78
1589,93,84.39
1590,92,88.19
1591,85,80.25
1592,89,82.04
1593,74,67.62
1594,93,86.31
1595,100,90.15
1596,81,80.32
1597,90,88.77
1598,97,85.66
1599,85,77.52
1600,81,86.47
1601,78,77.9
1602,96,92.58
1603,97,80.74
1604,100,93.38
1605,73,74.82
1606,82,87.03
1607,81,79.1
1608,89,82.78
1609,85,89.34
1610,96,95.39
1611,89,89.46
1612,77,82.94
1613,89,79.28
1614,77,77.68
1615,93,91.25
1616,96,90.94
1617,93,92.1
1618,89,80.84
1619,89,90.62
1620,93,82.14
1621,89,83.86
1622,89,89.08
1623,89,87.74
1624,96,91.4
1625,85,77.7
1626,85,78.45
1627,100,92.51
1628,86,90.07
1629,89,77.12
1630,96,92.65
1631,67,25.53
1632,89,90.44
1633,89,90.67
1634,93,75.89
1635,96,84.2
1636,100,87.22
1637,78,81.78
1638,90,70.68
1639,96,89.87
1640,89,67.93
1641,89,81.23
1642,100,88.53
1643,96,96.87
1644,93,93.53
1645,100,93.91
1646,71,75.09
1647,89,86
1648,75,80.17
1649,97,87.24
1650,89,87.21
1651,89,92.15
1652,85,76.15
1653,78,79.42
1654,89,75.97
1655,82,83.24
1656,85,89.33
1657,85,84.51
1658,86,78.77
1659,81,77.31
1660,89,91.68
1661,96,95.21
1662,81,84.7
1663,84,81.44
1664,89,84.5
1665,92,93.17
1666,77,72.68
1667,96,85.83
