ids,RatingID,erkey,AccountabilityID,RatingYear,BaseYear,RatingInterval,CN_Priority,Creation_Date,date_calculated,publish_date,exclude,ExcludeFromLists,previousratingid,DataEntryAnalyst,Rpt_Comp_Date,Rpt_Comp_Emp,Reader2_Date,EmployeeID,Rpt_Ap_Date,Rpt_Ap_Emp,Rpt_Ver_Date,Incomplete,BoardList_Status,StaffList_Status,AuditedFinancial_status,Form990_status,Privacy_Status,StatusID,DonorAdvisoryDate,DonorAdvisoryText,IRSControlID,ResultsID,DonorAdvisoryCategoryID,RatingTableID,CauseID,CNVersion,Tax_Year,CEO_Salary,Direct_Support,Indirect_Support,Govt_Grants,Total_Contributions,ProgSvcRev,MemDues,PrimaryRev,Other_Revenue,Total_Revenue,Excess_Deficit,Int_Expense,Depreciation,Total_Expenses,Total_Func_Exp,Program_Expenses,Administration_Expenses,Fundraising_Expenses,Pymt_Affiliates,Total_Assets,Total_Liabilities,Total_Net_Assets,Assets_45,Assets_46,Assets_47c,Assets_48c,Assets_49,Assets_54,Liability_60
11,11165,er-30882,74635,2016,2013,3,1,38302.5066087963,43179.437025463,43191,0,0,NaN,NaN,43160.4462962963,NaN,NaN,70,43179.4370601852,74,43179.4370601852,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2.1,2016,NaN,NaN,NaN,0,1379120,272728,0,1651848,115780,1767628,114331,NaN,NaN,1653297,1653297,1411145,167459,74693,0,1594740,85490,1509250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,15047,er-31197,28795,2015,2012,3,,38566.5552083333,42874.4256134259,42887,0,0,NaN,70,42859.7020601852,NaN,NaN,70,42874.4258912037,74,42874.4258912037,NaN,1,1,0,0,0,NaN,NaN,NaN,0,NaN,NaN,4,4,2.1,2015,120166,NaN,NaN,0,2079124,1028227,0,3107351,66704,3174055,257360,NaN,NaN,2916695,2916695,2307634,157200,451861,0,28147160,1932594,26214566,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,14242,er-31092,6778,2014,2011,3,,38505.4709027778,42409.5899884259,42430,0,0,NaN,45,42389.6329861111,NaN,40575.3331712963,69,42409.5901851852,58,42409.5901851852,NaN,1,1,0,0,0,NaN,NaN,NaN,0,NaN,NaN,4,4,2,2014,310763,NaN,NaN,0,27742991,0,0,27742991,12327401,40070392,29040250,NaN,NaN,11030142,11030142,7001728,1840563,2187851,0,94341452,16794031,77547421,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,36360,er-31495,7450,2016,2013,3,1,39574.487662037,43308.7771527778,43313,0,0,NaN,NaN,43300.5407291667,NaN,NaN,97,43307.6389583333,74,43307.6389583333,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2.11,2016,31769,NaN,NaN,0,1271206,14909,0,1286115,5341,1291456,-341275,NaN,NaN,1632731,1632731,1503916,78530,50285,0,1286858,54217,1232641,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,38169,er-31526,75469,2015,2012,3,0,39665.4942708333,42782.3944328704,42795,0,0,NaN,73,42780.5757638889,NaN,NaN,73,42782.4001736111,56,42782.4001736111,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2.1,2015,25551,NaN,NaN,0,1310344,0,0,1310344,-4343,1306001,134867,NaN,NaN,1171134,1171134,891428,121203,158503,0,1014681,51952,962729,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,38255,er-31537,29400,2014,2011,3,1,39665.4942824074,42199.482974537,42217,0,0,NaN,69,42192.542962963,NaN,NaN,69,42199.4830208333,45,42199.4830208333,NaN,1,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,29,29,2,2014,106086,NaN,NaN,990287,2282564,0,0,2282564,49,2282613,-95692,NaN,NaN,2378305,2378305,2117435,118323,142547,0,747164,506434,240730,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,38360,er-31551,25583,2015,2012,3,1,39665.4942939815,42975.6860648148,42979,0,0,NaN,10,42951.4935416667,NaN,NaN,10,42964.3706018518,56,42964.3706018518,NaN,1,1,1,1,0,NaN,NaN,NaN,0,NaN,NaN,29,29,2.1,2015,280851,NaN,NaN,248347,6680634,1007296,0,7687930,290334,7978264,457726,NaN,NaN,7520538,7520538,5835216,1257339,427983,0,14453323,1469812,12983511,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,38398,er-31553,59667,2014,2011,3,0,39665.4942939815,42417.4932986111,42430,0,0,NaN,NaN,42389.6445717593,NaN,NaN,69,42417.4933449074,67,42417.4933449074,NaN,1,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,16,16,2,2014,40256,NaN,NaN,0,1240522,164319,0,1404841,-332173,1072668,43356,NaN,NaN,1029312,1029312,755526,96693,177093,0,468961,107920,361041,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,47365,er-30298,15465,2015,2012,3,0,40226.563287037,42935.5334606481,42948,0,0,32392,70,42921.5395601852,NaN,NaN,70,42935.5334953704,73,42935.5334953704,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,3,3,2.1,2015,114535,NaN,NaN,0,1529010,45043,79830,1574053,666884,2240937,426684,NaN,NaN,1814253,1814253,976769,619764,217720,0,14789230,50911,14738319,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,51218,er-31694,29973,2014,2011,3,,40422.4482291667,42417.4937615741,42430,0,0,NaN,67,42408.449537037,NaN,NaN,67,42417.4938194444,69,42417.4938194444,NaN,1,1,0,0,0,NaN,NaN,NaN,0,NaN,NaN,4,4,2,2014,NaN,NaN,NaN,31356,828235,423059,0,1251294,98418,1349712,310278,NaN,NaN,1039434,1039434,813418,184169,41847,0,711723,563809,147914,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,17608,er-31298,58714,2014,2011,3,1,38691.4490046296,42265.4439583333,42278,0,0,NaN,70,42248.6949189815,NaN,NaN,70,42265.4440509259,58,42265.4440509259,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,29,29,2,2014,94938,NaN,NaN,1254308,2397429,102891,0,2500320,146013,2646333,44486,NaN,NaN,2601847,2601847,2139651,231318,230878,0,5902695,1832591,4070104,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,52990,er-30495,2236,2014,2011,3,1,40512.421412037,42416.4641898148,42430,0,0,NaN,70,42389.6269444444,NaN,NaN,69,42416.4529282407,51,42416.4529282407,NaN,1,1,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,16,NaN,2,2014,0,NaN,NaN,95598,934521,0,0,934521,129887,1064408,244628,NaN,NaN,819780,819780,714811,67075,37894,0,2077597,83389,1994208,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,44104,er-31627,29716,2016,2013,3,,39965.6017476852,42942.6707175926,42948,0,0,NaN,10,42935.406724537,NaN,NaN,10,42935.5192013889,56,42935.5192013889,NaN,1,1,0,0,0,NaN,NaN,NaN,0,NaN,NaN,4,4,2.1,2016,NaN,NaN,NaN,0,5299308,2969010,0,8268318,47010,8315328,1186705,NaN,NaN,7128623,7128623,4834996,1857286,436341,0,16353572,1410393,14943179,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,66772,er-31746,27333,2017,2014,3,1,41032.4673842593,43279.4685416667,43282,0,0,NaN,11,43269.4061921296,NaN,NaN,70,43276.4082523148,74,43276.4082523148,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,29,29,2.1,2017,15092,NaN,NaN,0,2252522,0,0,2252522,4091,2256613,-186806,NaN,NaN,2443419,2443419,1938005,244582,260832,0,1204105,149879,1054226,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,53130,er-31714,75797,2017,2014,3,1,40533.8988541667,43250.4412268518,43252,0,0,NaN,94,43165.696099537,NaN,NaN,73,43244.4034259259,70,43244.4034375,NaN,1,1,0,0,0,NaN,NaN,NaN,0,NaN,NaN,29,29,2.1,2017,192231,NaN,NaN,206885,1247233,352190,0,1599423,-443,1598980,17725,NaN,NaN,1581255,1581255,882380,395325,303550,0,152087,290644,-138557,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,67753,er-31759,28361,2014,2011,3,,41082.4636574074,42417.4710185185,42430,0,0,NaN,NaN,42248.486724537,NaN,NaN,69,42417.4712847222,67,42417.4712847222,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2,2014,63539,NaN,NaN,0,1448167,434185,0,1882352,93189,1975541,1104943,NaN,NaN,870598,870598,712627,63441,94530,0,4940224,405933,4534291,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,70272,er-31748,32397,2014,2011,3,1,41080.5546064815,42564.626099537,42583,0,0,67708,74,42564.4618287037,NaN,NaN,74,42564.6283796296,56,42564.6283796296,NaN,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,2.1,2014,60812,NaN,NaN,0,12798635,0,0,12798635,2000000,14798635,2481417,NaN,NaN,12317218,12317218,8756509,476691,3084018,0,644660,6388489,-5743829,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,70360,er-31787,32485,2016,2013,3,,41233.4141435185,42943.6505092593,42948,0,0,NaN,74,42927.4618518519,NaN,NaN,74,42929.6448842593,70,42929.6448842593,NaN,1,1,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,16,16,2.1,2016,78750,NaN,NaN,219165,928160,12000,0,940160,149850,1090010,214028,NaN,NaN,875982,875982,704707,100694,70581,0,2533958,16676,2517282,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,51293,er-31702,30008,2015,2013,2,0,40452.3767476852,42975.5876273148,42979,0,0,NaN,10,42961.5738078704,NaN,NaN,10,42975.587662037,70,42975.587662037,NaN,1,1,1,1,0,NaN,NaN,NaN,0,NaN,NaN,29,29,2.1,2015,113372,NaN,NaN,95798,2498372,170274,0,2668646,-17091,2651555,-105390,NaN,NaN,2756945,2756945,2288292,236942,231711,0,1215640,284288,931352,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,75007,er-31814,37142,2015,2012,3,,41429.4175231481,42912.457962963,42917,0,0,NaN,39,42912.4324537037,NaN,NaN,67,42912.4582638889,70,42912.4582638889,NaN,1,1,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,6,6,2.1,2015,95000,NaN,NaN,713000,1439423,107201,0,1546624,39876,1586500,433747,NaN,NaN,1152753,1152753,933312,130493,88948,0,3040179,39296,3000883,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,53071,er-31708,30036,2014,2011,3,,40512.6825810185,42417.5390972222,42430,0,0,NaN,45,42389.6767361111,NaN,NaN,69,42417.5391782407,67,42417.5391782407,NaN,1,1,0,0,0,NaN,NaN,NaN,0,753,NaN,16,16,2,2014,96068,NaN,NaN,87899,1040041,780488,0,1820529,331521,2152050,-246561,NaN,NaN,2398611,2398611,2023358,199138,176115,0,3968329,155612,3812717,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,75964,er-31920,38098,2016,2013,3,,41526.5944328704,42866.5714814815,42887,0,0,NaN,70,42866.5715277778,NaN,NaN,70,42874.4905439815,74,42874.4905439815,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2.1,2016,91453,NaN,NaN,0,730946,365807,0,1096753,95635,1192388,-23054,NaN,NaN,1215442,1215442,857209,252601,105632,0,1098894,108080,990814,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,66373,er-31213,26865,2016,2013,3,1,40935.7009143519,43229.449525463,43252,0,0,65094,11,43229.4347106482,NaN,NaN,11,43229.4497916667,74,43229.4497916667,NaN,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,16,16,2.1,2016,220387,NaN,NaN,0,3366792,3090774,0,6457566,1669100,8126666,475799,NaN,NaN,7650867,7650867,6450598,756054,444215,67751,33250431,2147966,31102465,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,79779,er-32049,41915,2014,2011,3,,41645.6576388889,42417.6512962963,42430,0,0,NaN,44,42394.4618287037,NaN,NaN,69,42417.6518287037,48,42417.6518287037,NaN,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,3,3,2,2014,200881,NaN,NaN,100108,9299349,781191,256893,10080540,5902539,15983079,5537534,NaN,NaN,10445545,10445545,7814451,2129187,501907,0,120230073,3893588,116336485,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,80126,er-32135,42262,2014,2011,3,,41645.6578935185,42046.6697337963,42064,0,0,NaN,11,42040.7088194444,NaN,NaN,11,42046.6700578704,48,42046.6700578704,NaN,0,0,0,0,0,NaN,NaN,NaN,NaN,3552,NaN,29,NaN,2,2014,60435,NaN,NaN,0,3437325,0,0,3437325,11400,3448725,314682,NaN,NaN,3134043,3134043,2918163,117818,98062,0,2571268,20383,2550885,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,80157,er-32141,42293,2013,2010,3,,41645.6579166667,42418.5200578704,42430,0,0,NaN,67,42410.6306134259,NaN,NaN,69,42418.5200810185,67,42418.5200810185,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,16,16,2,2013,87227,NaN,NaN,298640,1073555,0,9100,1073555,163959,1237514,-182296,NaN,NaN,1419810,1419810,1090411,169169,160230,0,2330117,142275,2187842,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,74053,er-31587,36187,2016,2013,3,1,41383.6096296296,43066.660462963,43070,0,0,39849,NaN,43061.4141782407,NaN,NaN,74,43066.6606365741,70,43066.6606365741,NaN,1,1,0,0,0,NaN,NaN,NaN,27,NaN,NaN,29,29,2.1,2016,125995,NaN,NaN,0,16899793,0,0,16899793,2536287,19436080,1955985,NaN,NaN,17480095,17480095,16262638,1023654,193803,0,11813940,485936,11328004,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,80734,er-31381,42968,2013,2010,3.33333325386047,0,41681.5211458333,42065.6378009259,42095,0,0,77191,51,42044.4824768519,NaN,NaN,51,42065.6378356482,58,42065.6378356482,NaN,1,1,0,0,0,NaN,NaN,NaN,36,3575,NaN,29,29,2,2013,89731,NaN,NaN,0,4574743,513900,0,5088643,-3430,5085213,496448,NaN,NaN,4588765,4588765,3336474,714264,538027,0,3575599,1110361,2465238,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,79620,er-32002,41756,2014,2010,4,,41645.6575231481,42417.5216898148,42430,0,0,NaN,67,42408.4871643518,NaN,NaN,67,42417.5223032407,69,42417.5223032407,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2,2014,70000,NaN,NaN,0,652930,246541,29665,899471,149158,1048629,78816,NaN,NaN,969813,969813,701733,177919,90161,0,6691932,8317,6683615,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,79694,er-32020,41830,2014,2011,3,,41645.6575810185,42417.6116087963,42430,0,0,NaN,44,42389.6890625,NaN,NaN,69,42417.6116550926,67,42417.6116550926,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,29,29,2,2014,61158,NaN,NaN,118326,1194690,0,0,1194690,75355,1270045,113232,NaN,NaN,1156813,1156813,1047812,80220,28781,0,3890798,8944,3881854,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,44935,er-31376,13303,2015,2011,4,1,40031.7298842593,42662.4840972222,42675,0,0,32399,70,42661.4154166667,NaN,NaN,70,42662.4843634259,56,42662.4843634259,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2.1,2015,120865,NaN,NaN,0,880630,0,0,880630,252325,1132955,187879,NaN,NaN,945076,945076,755989,65519,123568,0,7923441,53577,7869864,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,81685,er-30958,43280,2014,2011,2.5,0,41681.5211458333,42013.6712152778,42036,0,0,76184,51,42010.5404050926,NaN,NaN,51,42013.6713773148,44,42013.6713773148,NaN,1,1,0,0,0,NaN,NaN,NaN,36,3196,NaN,4,4,2,2014,135615,NaN,NaN,252543,2525039,1062669,0,3587708,40286,3627994,695345,NaN,NaN,2932649,2932649,1805801,938380,188468,0,1281230,935337,345893,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,79881,er-32067,42017,2013,2009,4,,41645.6577199074,42055.6782986111,42036,0,0,NaN,58,42017.4018865741,NaN,NaN,58,42018.4442013889,51,42018.4442013889,NaN,0,1,0,0,0,NaN,NaN,NaN,NaN,3304,NaN,16,NaN,2,2013,101285,NaN,NaN,0,736545,205961,377759,942506,407937,1350443,116216,NaN,NaN,1234227,1234227,1051793,60813,121621,19712,1865477,0,1865477,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,80006,er-32099,42142,2015,2012,3,,41645.6578125,42716.5385185185,42725,0,0,NaN,67,42711.6145717593,NaN,NaN,67,42716.539224537,70,42716.539224537,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,29,29,2.1,2015,NaN,NaN,NaN,415202,7065546,0,0,7065546,68980,7134526,605225,NaN,NaN,6529301,6529301,6001696,192148,335457,0,4428822,209107,4219715,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,74648,er-31799,36783,2014,2010,4,1,41409.6900694444,42398.6041203704,42401,0,0,NaN,70,42240.5058680556,NaN,NaN,70,42388.6583680556,58,42388.6583680556,NaN,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,29,29,2,2014,187442,NaN,NaN,0,10899070,0,0,10899070,-103326,10795744,3952467,NaN,NaN,6843277,6843277,5884995,368369,589913,0,10905366,444403,10460963,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,81231,er-30215,43231,2014,2011,2.5,1,41681.5211458333,42123.4122337963,42125,0,0,77560,56,42104.5896759259,NaN,NaN,56,42104.6930324074,51,42104.6930324074,NaN,1,1,0,0,0,NaN,NaN,NaN,36,4811,NaN,16,NaN,2,2014,35417,NaN,NaN,0,1042867,1395596,0,2438463,1605952,4044415,600440,NaN,NaN,3443975,3443975,2834127,340763,269085,0,10212964,117430,10095534,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,68061,er-31763,30181,2015,2012,3,,41106.5401041667,42823.432337963,42826,0,0,NaN,40,42739.4803472222,NaN,NaN,70,42817.3438888889,10,42817.3438888889,NaN,1,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,29,29,2.1,2015,271538,NaN,NaN,1208817,4846363,271800,0,5118163,2688,5120851,-119585,NaN,NaN,5240436,5240436,4163038,569540,507858,0,2128847,574863,1553984,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,82867,er-30841,45003,2013,2009,4.33333349227905,0,41724.3835532407,42054.6308796296,42095,0,0,82857,48,42044.6841319444,NaN,NaN,48,42065.4303009259,58,42065.4303009259,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,3723,NaN,29,29,2,2013,77976,NaN,NaN,0,1187743,2527965,0,3715708,1248698,4964406,447944,NaN,NaN,4516462,4516462,3978311,146833,391318,0,22978064,689578,22288486,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,80059,er-32115,42195,2014,2011,3,,41645.6578472222,42585.681875,42614,0,0,NaN,73,42551.6001851852,NaN,NaN,73,42585.6819097222,56,42585.6819097222,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,16,16,2.1,2014,118813,NaN,NaN,802719,3447062,197768,30689,3644830,2164928,5809758,2299573,NaN,NaN,3510185,3510185,2453880,696357,359948,0,9969366,130686,9838680,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,80075,er-32118,42211,2016,2013,3,,41645.6578587963,43368.7567476852,43374,0,0,NaN,NaN,43354.6642939815,NaN,NaN,97,43368.591087963,51,43368.591087963,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,16,16,2.11,2016,104539,NaN,NaN,491011,1146303,78079,0,1224382,-6065,1218317,-5950,NaN,NaN,1224267,1224267,968139,181627,74501,0,436851,57589,379262,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,79737,er-32038,41873,2016,2014,2,,41645.6576157407,42810.4675115741,42826,0,0,NaN,67,42810.3809259259,NaN,NaN,67,42810.4678935185,70,42810.4678935185,NaN,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,29,29,2.1,2016,63383,NaN,NaN,0,3366503,0,0,3366503,51,3366554,288962,NaN,NaN,3077592,3077592,2826530,99169,151893,0,714604,4229,710375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,83374,er-32119,45510,2013,2010,3,0,41759.4545486111,41935.4990625,41944,0,0,80076,58,41892.5052546296,NaN,NaN,58,41935.499212963,48,41935.499212963,NaN,1,1,0,0,0,NaN,NaN,NaN,39,NaN,NaN,4,4,2,2013,62692,NaN,NaN,157988,959407,681261,0,1640668,734,1641402,187872,NaN,NaN,1453530,1453530,1033089,259811,160630,0,512763,20411,492352,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,80405,er-30626,42541,2013,2008,5,0,41670.4347453704,42020.525775463,42036,0,0,80396,NaN,42013.4699884259,NaN,NaN,45,42020.5260532407,58,42020.5260532407,NaN,0,1,0,0,0,NaN,NaN,NaN,NaN,3266,NaN,29,29,2,2013,55305,NaN,NaN,0,223109,0,0,223109,11217,234326,-339146,NaN,NaN,573472,573472,425402,92484,55586,0,1042052,327467,714585,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,84464,er-31594,46603,2013,2010,3,0,41782.6472916667,41926.6001736111,41944,0,0,74055,58,41914.6491782407,NaN,NaN,58,41926.6003472222,51,41926.6003472222,NaN,1,1,0,0,0,NaN,NaN,NaN,40,2569,NaN,16,16,2,2013,NaN,NaN,NaN,0,810548,0,0,810548,0,810548,-30900,NaN,NaN,841448,841448,662596,167471,11381,0,447306,514754,-67448,NaN,NaN,NaN,NaN,NaN,NaN,NaN
